Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
PJ-HUMBERTO-CAMPOS-FORTEL-10M-326424       |UP   |14d01h09min|    0|100,00%|  20ms|  99,36%|     0|  2979|   697|
PJ-ICATU-FORTEL-10M-317144                 |UP   |15d00h53min|    0|100,00%|  49ms|  99,97%|     0|  2979|   697|
PJ-IGARAPE-GRANDE-FORTEL-10M-331010        |UP   | 0d00h54min|    1| 46,77%|  18ms|  87,51%|   371|  2979|   697|
PJ-IMPERATRIZ-ANEXO-FORTEL-10M-203815-00005|UP   | 0d01h50min|    1| 99,86%|  50ms|  99,77%|     1|  2979|   697|
PJ-IMPERATRIZ-FORTEL-100M-339196           |UP   |35d00h51min|    0|100,00%|  50ms|  99,93%|     0|  2979|   697|
PJ-ITAPECURU-FORTEL-10M-307066             |UP   |14d02h09min|    0|100,00%|  19ms|  99,87%|     0|  2979|   697|
PJ-ITINGA-FORTEL-10M-339326                |UP   |14d01h12min|    0|100,00%|  49ms|  99,87%|     0|  2979|   697|
PJ-ITZ-CASA-MULHER-FORTEL-10M-340782       |UP   |35d00h51min|    0|100,00%|  50ms|  99,93%|     0|  2979|   697|
PJ-JOAO-LISBOA-FORTEL-10M-335958           |UP   |14d23h55min|    0|100,00%|  20ms|  99,87%|     0|  2979|   697|
PJ-JOSELANDIA-FORTEL-10M-345382            |UP   |14d00h54min|    0|100,00%|  15ms|  99,93%|     0|  2979|   697|
PJ-LAGO-DA-PEDRA-FORTEL-10M-336060         |UP   |34d23h32min|    0|100,00%|  12ms|  99,97%|     0|  2979|   697|
PJ-LORETO-FORTEL-10M-306484                |UP   |15d00h38min|    0|100,00%|  18ms|  99,93%|     0|  2979|   697|
PJ-MAGALHAES-FORTEL-10M-342108             |UP   |14d01h57min|    0|100,00%|  19ms|  99,90%|     0|  2979|   697|
PJ-MANGABEIRAS-FORTEL-10M-339390           |UP   | 0d01h37min|    1| 99,86%|  19ms|  98,62%|     1|  2979|   697|
PJ-MARACACUME-FORTEL-10M-308310            |UP   |35d23h05min|    0|100,00%|  38ms|  99,97%|     0|  2979|   697|
PJ-MATINHA-FORTEL-10M-313164               |UP   |34d23h51min|    0|100,00%|  20ms|  99,97%|     0|  2979|   697|
PJ-MATOES-FORTEL-10M-341718                |UP   |34d23h31min|    0|100,00%|   8ms|  99,97%|     0|  2979|   697|
PJ-MIRADOR-FORTEL-10M-321534               |UP   | 0d01h29min|    1| 99,86%|  15ms|  99,90%|     1|  2979|   697|
PJ-MIRINZAL-FORTEL-10M-315408              |UP   |15d00h52min|    0|100,00%|  47ms|  99,87%|     0|  2979|   697|
PJ-MONCAO-FORTEL-10M-321478                |UP   | 0d00h09min|    2| 99,71%|  16ms|  99,73%|     2|  2978|   697|
PJ-MONTES-ALTOS-FORTEL-10M-336538          |UP   | 0d00h01min|    8| 98,85%|  49ms|  99,36%|     8|  2979|   697|
