Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
PJ-VARGEM-GRANDE-FORTEL-10M-312452         |UP   |12d22h40min|    1| 99,86%|  21ms|  99,86%|     1|   719|   719|
PJ-VIANA-FORTEL-10M-308022                 |UP   |12d22h40min|    2| 99,30%|  20ms|  99,30%|     5|   719|   719|
PJ-VITORIA-MEARIM-FORTEL-10M-305014        |UP   |12d22h40min|    1| 99,86%|  19ms|  99,86%|     1|   719|   719|
PJ-VITORINO-FORTEL-20M-344288              |UP   |12d22h40min|    1| 99,86%|  12ms|  99,86%|     1|   719|   719|
PJ-ZE-DOCA-FORTEL-10M-345884               |UP   |12d22h40min|    1| 99,86%|  24ms|  99,86%|     1|   719|   719|
SLS-ALMOXARIFADO-BITAL-100M-QINQ-2707      |UP   |12d23h47min|    0|100,00%|   5ms| 100,00%|     0|   719|   719|
SLS-CASA-MULHER-BITAL-100M-QINQ-2707       |UP   |12d23h47min|    0|100,00%|   3ms| 100,00%|     0|   719|   719|
SLS-DIVINEIA-BITAL-100M-QINQ-2707          |UP   | 8d21h38min|  121| 74,23%|   7ms|  74,23%|   185|   718|   718|
SLS-PJ-CONSUMIDOR-10M-SEM-CODIGO           |UP   |12d22h19min|    6| 98,82%|  39ms|  98,82%|     8|   677|   677|
SLS-PJ-CONSUMIDOR-FORTEL-20M-149307-00102  |UP   | 8d21h39min|    0|100,00%|  29ms| 100,00%|     0|    42|    42|
SLS-PJ-CREAISPI-FORTEL-20M-149307-00103    |UP   | 6d00h49min|    0| 90,24%|  33ms|  90,24%|     4|    41|    41|
SLS-PJECA-BITAL-100M-QINQ-2707             |UP   |12d23h47min|    0|100,00%|   7ms| 100,00%|     0|   719|   719|
SLS-PJIJ-CAJAZEIRAS-BITAL-100M-QINQ-2707   |UP   |12d23h47min|    0|100,00%|   3ms| 100,00%|     0|   719|   719|
